seed;N;max_generation;max_season_time_steps;n_sites;data_print_interval;init_resources_site;init_predator_density;mu_an;an_init;mu_bn;bn_init;mu_ax;ax_init;mu_bx;bx_init;mu_at;at_init;mu_bt;bt_init;mu_ap;ap_init;mu_bp;bp_init;mu_anu;anu_init;mu_bnu;bnu_init;mu_axo;axo_init;mu_bxo;bxo_init;sdmu;pr_base_flight_survive;flight_survive_scale;flight_survive_power;flight_survive_max_size;min_resources;f;g;generation;mean_an;mean_bn;mean_ax;mean_bx;mean_at;mean_bt;mean_ap;mean_bp;mean_anu;mean_bnu;mean_axo;mean_bxo;mean_resources;var_an;var_bn;var_ax;var_bx;var_at;var_bt;var_ap;var_bp;var_anu;var_bnu;var_axo;var_bxo;var_resources;n;n_female;n_male;file
1988810867;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;2;3;50000;-0.000671103;-0.0275954;-0.00432739;-0.0721533;0.00182358;-0.000703873;0;0;-0.00063748;0.049915;-0.00252322;0.0023968;16.1509;0.000197163;0.00060218;0.000259566;0.00047393;0.000160106;0.000130376;0;0;0.000143022;0.000326716;0.000185514;0.000145864;129.93;941;454;487;./sim_cue_migration_20260718_123204_77
2649955714;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;2;3;50000;0.00169791;-0.0301762;-0.00731678;-0.0876562;0.000285896;0.00572341;0;0;0.0021142;0.0596612;0.00346221;-0.00620475;17.5524;0.000218984;0.000551641;0.000178577;-0.000221431;0.000259515;0.000262325;0;0;0.000181695;3.41546e-05;0.000214712;0.000213061;26.9749;907;485;422;./sim_cue_migration_20260718_123204_78
1349593549;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;2;3;50000;-0.00137269;-0.0311096;0.00248108;-0.0783483;-0.000376417;-0.000131765;0;0;0.00113514;-0.00689355;-0.00111451;0.015172;99.3459;0.000184419;0.000611255;0.000203038;0.00010551;0.000236821;0.000209892;0;0;0.00018742;1.97759e-06;0.000192717;7.28143e-05;769.797;1755;896;859;./sim_cue_migration_20260718_123204_80
1056953649;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;2;3;50000;-0.00285721;-0.0469593;-0.00159815;-0.0868665;-0.00287444;0.00123958;0;0;0.00263136;0.0537558;0.00274417;0.00206439;17.2657;0.000206099;0.000826338;0.000220622;0.00027066;0.000231431;0.000186644;0;0;0.000231161;0.000170472;0.000190787;0.000157403;85.4996;926;468;458;./sim_cue_migration_20260718_123204_91
2629317283;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;2;3;50000;0.00220544;-0.0383508;-0.00109785;-0.0827088;-5.24935e-05;-0.00261788;0;0;0.00406561;-0.00694973;-0.0023499;0.0129801;104.091;0.000169725;0.00061625;0.000169434;9.74465e-05;0.000148051;0.000169164;0;0;0.000191151;1.2016e-06;0.00018507;8.81873e-05;651.144;1738;890;848;./sim_cue_migration_20260718_123204_92
3483768565;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;3;3;50000;-0.0017324;-0.0419584;0.000770293;-0.0942216;-0.00200194;6.44251e-05;0;0;0.00432891;0.051434;-0.0021807;0.00516845;17.133;0.000231559;0.00088592;0.000206413;-1.68078e-05;0.000207157;0.000204276;0;0;0.000284133;8.53328e-05;0.000245573;0.000235975;85.7266;782;402;380;./sim_cue_migration_20260718_123204_95
2018851676;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;3;3;50000;-1.89494e-05;-0.0125547;-0.00128978;-0.0890977;-0.00097991;-0.000560745;0;0;-0.00291131;0.0495522;-0.000899443;-0.000442472;15.8406;0.00013553;0.000281353;0.000150616;-1.87239e-05;0.000189274;0.000166208;0;0;0.000183025;0.000104229;0.000197716;0.000155413;55.445;778;402;376;./sim_cue_migration_20260718_123204_94
1940321528;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;3;3;50000;0.00101329;-0.049404;0.00153885;-0.0817707;-0.00492512;0.00404768;0;0;-2.20612e-05;0.0532825;0.00050448;0.00260791;15.7358;0.000185634;0.000712501;0.000177036;6.87229e-05;0.00016188;0.000177283;0;0;0.00021792;0.000142375;0.000188421;0.000185466;130.292;795;405;390;./sim_cue_migration_20260718_123204_96
2501287996;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;3;3;50000;-0.00374507;-0.0443847;0.00234428;-0.0822319;-0.00434168;-0.00177161;0;0;0.00201992;0.0567014;0.00280801;-0.00132725;15.7282;0.000308847;0.000866627;0.000195419;0.000136051;0.000136431;0.000221584;0;0;0.000179108;0.000238713;0.000130009;0.000144306;136.298;758;383;375;./sim_cue_migration_20260718_123204_93
4115381730;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;1;3;50000;-0.00343485;-0.00432214;0.00122821;-0.0755037;-0.00335393;0.00157451;0;0;0.00218666;-0.0811887;0.000952094;0.0782721;120.859;0.000230417;0.000207707;0.000234855;0.000249515;0.00014721;0.000202186;0;0;0.000205358;1.05097e-05;0.000176943;9.4931e-05;294.779;2289;1157;1132;./sim_cue_migration_20260718_123204_97
